timestamp, callchains, power, resource_usage, gpu_power
0.100000, 0xffffffffffffff80;0xffffffff91e1f5c3;0xffffffff91e1f7f5;0xffffffff91e127b0;0xffffffff921bb88e;0xffffffff921c40bc;0xffffffff921c433f;0xffffffff921bafc6;0xffffffff921b734c;0xffffffff9203b3a9;0xffffffff9203b763;0xffffffff91eade2c;0xffffffff93097afb;0xffffffff93200f8b;0xffffffff930a9281;0xffffffffc11f66ca;0xffffffffc1704943;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff921bb88e;0xffffffff921c3d37;0xffffffff91f5d4bf;0xffffffff930a07f1;0xffffffff930a0c59;0xffffffff930a0f75;0xffffffff930a4f8e;0xffffffff930a52ab;0xffffffffc11f4b51;0xffffffffc1b0fc40;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff91e1f5a4;0xffffffff91e1f7f5;0xffffffff91e127b0;0xffffffff921bb88e;0xffffffff921c3d37;0xffffffff91f5d4bf;0xffffffff930a07f1;0xffffffff930a0c59;0xffffffff930a0f75;0xffffffff930a4f8e;0xffffffff930a52ab;0xffffffffc11f4b51;0xffffffffc1b0fc40;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff91e127b0;0xffffffff921bb88e;0xffffffff921c3d37;0xffffffff91f5d4bf;0xffffffff930a07f1;0xffffffff930a0c59;0xffffffff930a0f75;0xffffffff930a4f8e;0xffffffff930a52ab;0xffffffffc11f4b51;0xffffffffc1b0fc40;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff921bb88e;0xffffffff921c3d37;0xffffffff91f5d4bf;0xffffffff930a07f1;0xffffffff930a0c59;0xffffffff930a0f75;0xffffffff930a4f8e;0xffffffff930a52ab;0xffffffffc11f4b51;0xffffffffc1b0fc40;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff930a9b36;0xffffffff921c3c5c;0xffffffff91f5d4bf;0xffffffff930a07f1;0xffffffff930a0c59;0xffffffff930a0f75;0xffffffff930a4f8e;0xffffffff930a52ab;0xffffffffc11f4b51;0xffffffffc1b0fc40;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff91fe8d84;0xffffffff91f5d4bf;0xffffffff930a07f1;0xffffffff930a0c59;0xffffffff930a0f75;0xffffffff930a4f8e;0xffffffff930a52ab;0xffffffffc11f4b51;0xffffffffc1b0fc40;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff91fa1853;0xffffffff91f7036a;0xffffffff91f784eb;0xffffffff91f790cf;0xffffffff91f6182f;0xffffffff930a0920;0xffffffff930a0c59;0xffffffff930a0f75;0xffffffff930a4f8e;0xffffffff930a52ab;0xffffffffc11f4b51;0xffffffffc1b0fc40;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff91fa1853;0xffffffff91f7036a;0xffffffff91f784eb;0xffffffff91f790cf;0xffffffff91f6182f;0xffffffff930a0920;0xffffffff930a0c59;0xffffffff930a0f75;0xffffffff930a4f8e;0xffffffff930a52ab;0xffffffffc11f4b51;0xffffffffc1b0fc40;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff930a99f7;0xffffffff930a05f8;0xffffffff930a0c59;0xffffffff930a0f75;0xffffffff930a4f8e;0xffffffff930a52ab;0xffffffffc11f4b51;0xffffffffc1b0fc40;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff92292ced;0xffffffffc11e1a4d;0xffffffffc11e4d2e;0xffffffffc1ce2581;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff93014b87;0xffffffff9227f6a1;0xffffffff92280dc4;0xffffffff922bc079;0xffffffff922bc21c;0xffffffff92277111;0xffffffffc11f3faa;0xffffffffc11e4db1;0xffffffffc1ce2581;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffffc1313a33;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff91face1c;0xffffffff930a91ce;0xffffffffc11f6682;0xffffffffc1b0fa10;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffffc1b1a4ff;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff92293ef7;0xffffffffc11f5045;0xffffffffc1b0f2b4;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff91face1c;0xffffffff930a91ce;0xffffffffc11f6682;0xffffffffc1b0fa10;0xfffffffffffffe00;ioctl;0x73ad2c5098a0;0x8beef0003;|0xffffffffffffff80;0xffffffff91ee3367;0xffffffff91ee327c;0xffffffff91ee3617;0xffffffff91ee37b2;0xffffffff91ee3843;0xffffffffc11f4109;0xffffffffc11e4db1;0xffffffffc1ce2581;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff92578e81;0xffffffff925922d2;0xffffffff92592758;0xffffffff92592dbf;0xffffffff9258c227;0xffffffff9251931e;0xffffffff9230d89f;0xffffffff9230ff00;0xffffffff92328d3a;0xffffffff9232e302;0xffffffff9232e560;0xffffffff92310463;0xffffffff92310a05;0xffffffff91e0c0ea;0xffffffff9309124e;0xffffffff9320012b;0xfffffffffffffe00;__open;0x73ad2c5b1611;0x100008000;|0xffffffffffffff80;0xffffffff9309a26d;0xffffffffc16d6fa3;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xfffffffffffffe00;0x73ad2c0e3d95;|0xffffffffffffff80;0xffffffffc1705d88;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff922ed1b6;0xffffffff92266eac;0xffffffff922689ba;0xffffffff9224eb84;0xffffffff9224fd5d;0xffffffff922503af;0xffffffff92250609;0xffffffff91edae22;0xffffffff930984b5;0xffffffff93200bb7;0xfffffffffffffe00;__memset_avx2_unaligned_erms;|0xfffffffffffffe00;_ZStneRKSt16istream_iteratorINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEcS3_lES8_;_ZNSt6vectorINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EEC2ISt16istream_iteratorIS5_cS3_lEvEET_SB_RKS6_;_ZN10__HelperGL5__IntL5splitERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE;_ZN10__HelperGL5__IntL15getGLExtensionsEv;_ZN10__HelperGLL24areGLExtensionsSupportedERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE;_Z6initGLPiPPc;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xffffffffffffff80;0xffffffff93007b30;0xffffffff92351d24;0xffffffff923d5235;0xffffffff923d530e;0xffffffff92352609;0xffffffff9235291d;0xffffffff923149cc;0xffffffff92315a43;0xffffffff92315af9;0xffffffff91e0b8f2;0xffffffff9309124e;0xffffffff9320012b;0xfffffffffffffe00;read;0x303038613530342d;|0xfffffffffffffe00;_int_realloc;realloc;0x73ad2bfe8e14;|0xfffffffffffffe00;__strcmp_avx2;0x5f5f7472617473;|0xfffffffffffffe00;0x73ad2c5df788;0x5f5f7472617473;|0xfffffffffffffe00;__strcmp_avx2;0x5f5f7472617473;|0xfffffffffffffe00;0x73ad2c0158e0;0x5f5f7472617473;|0xfffffffffffffe00;0x73ad2c5df788;0x5f5f7472617473;|0xfffffffffffffe00;__strcmp_avx2;0x5f5f7472617473;|0xfffffffffffffe00;0x73ad2c5df788;0x5f5f7472617473;|0xfffffffffffffe00;__vfscanf_internal;_IO_sscanf;0x73ad26c73140;0x73ad26c6bd25;0x73ad26c1b193;0x73ad26c80785;libcudart_static_aa4a6bcb5fce58be20d542d9b467101e0a9360a5;libcudart_static_0bf7336e71b5df655f7fe4ef2dea52179e6fcf82;__pthread_once_slow;libcudart_static_5887a27cefafb4cd438bdc166b0a6f874b079d4b;cudaGetDeviceCount;_Z23gpuGetMaxGflopsDeviceIdv;_Z14findCudaDeviceiPPKc;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;0x73ad26c4371a;0x73ad26c17a5f;0x73ad26c1f1f7;0x73ad26c80798;libcudart_static_aa4a6bcb5fce58be20d542d9b467101e0a9360a5;libcudart_static_0bf7336e71b5df655f7fe4ef2dea52179e6fcf82;__pthread_once_slow;libcudart_static_5887a27cefafb4cd438bdc166b0a6f874b079d4b;cudaGetDeviceCount;_Z23gpuGetMaxGflopsDeviceIdv;_Z14findCudaDeviceiPPKc;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xffffffffffffff80;0xffffffff9226eaa9;0xffffffff9226f07a;0xffffffff922742af;0xffffffffc11f45b8;0xffffffffc11e4a15;0xffffffffc1ce1b93;0xfffffffffffffe00;ioctl;0x73ad26db1891;0x73ad26c61aaa;0x73ad26c5cbe5;0x73ad26c2050b;0x73ad26c80798;libcudart_static_aa4a6bcb5fce58be20d542d9b467101e0a9360a5;libcudart_static_0bf7336e71b5df655f7fe4ef2dea52179e6fcf82;__pthread_once_slow;libcudart_static_5887a27cefafb4cd438bdc166b0a6f874b079d4b;cudaGetDeviceCount;_Z23gpuGetMaxGflopsDeviceIdv;_Z14findCudaDeviceiPPKc;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|, 50.679800, 21.21, 23.753000
0.227000, 0xfffffffffffffe00;random_r;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random_r;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;rand;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random_r;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;random;rand;_Z6myrandv;_Z13initParticlesP6float2ii;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xfffffffffffffe00;0x73ad26de0e5e;0x73ad26b7d833;0x73ad26eebb3f;0x73ad26eebed5;0x73ad26b842cc;0x73ad26eea3dd;0x73ad26c3fb23;0x73ad26c4024f;0x73ad26b54914;0x73ad26c8b55b;0x73ad2e33fa81;0x73ad2e2e10dc;0x1;|0xffffffffffffff80;0xffffffff92243169;0xffffffff921e1bf9;0xffffffff9224a8e4;0xffffffff9224acd8;0xffffffff9224fcc6;0xffffffff922503af;0xffffffff92250609;0xffffffff91edae22;0xffffffff930984b5;0xffffffff93200bb7;0xfffffffffffffe00;0x73ad26b90ec4;0x73ad26c330ca;0x73ad26d83cee;0x73ad26d8588c;0x73ad26ee26b9;0x73ad26b41496;0x73ad26ebd490;0x73ad26b3bad2;0x73ad26ceac4e;0x73ad2e348a78;|0xfffffffffffffe00;0x73ad2c00c4ad;|0xffffffffffffff80;0xffffffffc11f4df0;0xffffffffc15ad635;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xfffffffffffffe00;0x73ad2c0ce193;0x3edf7bed3efe42db;|0xffffffffffffff80;0xffffffffc16ef998;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff92307cbe;0xffffffff92307e72;0xffffffff92307f83;0xffffffffc11e646a;0xffffffff92333a20;0xffffffff91e0af8d;0xffffffff9309124e;0xffffffff9320012b;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff921eb0f4;0xffffffff9236ce5a;0xffffffff9236cede;0xffffffff9236d035;0xffffffff9236d980;0xffffffff925798a2;0xffffffff92579b80;0xffffffff92592186;0xffffffff92592e3d;0xffffffff9258e18d;0xffffffff9258e307;0xffffffff9251820c;0xffffffff9231d71d;0xffffffff9231d8a2;0xffffffff9231dd3c;0xffffffff9231dee5;0xffffffff9231df56;0xffffffff91e0b0f2;0xffffffff9309124e;0xffffffff9320012b;0xfffffffffffffe00;__xstat64;0x8000;|0xffffffffffffff80;0xffffffff9227cba6;0xffffffff9227f684;0xffffffff92280dc4;0xffffffff922bc079;0xffffffff922bc3b4;0xffffffff922bc5c8;0xffffffff9224e628;0xffffffff9224e9f0;0xffffffff9224fd5d;0xffffffff922503af;0xffffffff92250609;0xffffffff91edae22;0xffffffff930984b5;0xffffffff93200bb7;0xfffffffffffffe00;__memset_avx2_unaligned_erms;0x73ad2bfe8920;0x840f53fd89485554;|0xfffffffffffffe00;__memset_avx2_unaligned_erms;|, 28.013622, 27.27, 27.427000
0.346000, 0xfffffffffffffe00;0x73ad26bc50df;0x73ad26c254d5;0x73ad26ee4a54;0x73ad26b2e455;0x73ad26b2ecc8;0x73ad26b358bf;0x73ad26cf25f0;0x73ad2e2f6019;|0xffffffffffffff80;0xffffffff930a99f7;0xffffffff9226fc64;0xffffffff92270062;0xffffffff9227074c;0xffffffff922707f9;0xffffffff91ee35ca;0xffffffff91ee37b2;0xffffffff91ee3843;0xffffffffc11f4109;0xffffffffc11e4db1;0xffffffffc1ce2581;0xfffffffffffffe00;ioctl;0x73ad2c500930;|, 15.605983, 11.11, 34.979000
0.447000, 0xffffffffffffff80;0xffffffff92351f83;0xffffffff922af3fd;0xffffffff923ea302;0xffffffff9235246f;0xffffffff923dbb6f;0xffffffff92314b7b;0xffffffff92315a43;0xffffffff92315af9;0xffffffff91e0b8f2;0xffffffff9309124e;0xffffffff9320012b;0xfffffffffffffe00;read;_IO_file_underflow@@GLIBC_2.2.5;__getdelim;0x73ad2bff4597;0x59e93dbb0020;|0xfffffffffffffe00;pthread_mutex_unlock@@GLIBC_2.2.5;0x73ad26e213cc;0x73ad26ee627c;0x73ad26b2e455;0x73ad26b2ecc8;0x73ad26b358bf;0x73ad26cf25f0;0x73ad2e2f6019;|, 13.228881, 0.00, 38.732000
0.549000, 0xfffffffffffffe00;0x73ad26b02cce;0x73ad26ee4a54;0x73ad26b2e455;0x73ad26b2ecc8;0x73ad26b358bf;0x73ad26cf25f0;0x73ad2e2f6019;|, 12.980108, 0.00, 42.498000
0.649000, 0xffffffffffffff80;0xffffffff9229069c;0xffffffff9232634b;0xffffffff9231044f;0xffffffff92310a05;0xffffffff91e0c0ea;0xffffffff9309124e;0xffffffff9320012b;0xfffffffffffffe00;__open;_IO_file_open;_IO_file_fopen@@GLIBC_2.2.5;fopen@@GLIBC_2.2.5;0x73ad2bff4538;0x73ad2bff5360;0x5355f48949544155;|0xfffffffffffffe00;0x73ad2c17e609;|, 15.842860, 0.00, 46.325000
0.750000, 0xffffffffffffff80;0xffffffff91f3e88f;0xffffffff91f2a2ed;0xffffffff91e0c333;0xffffffff9309124e;0xffffffff9320012b;0xfffffffffffffe00;__getpid;0x73ad3ef9a1e8;fgSetWindow;fghRedrawWindow;0x73ad3f0c2099;fgEnumWindows;glutMainLoopEvent;glutMainLoop;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|0xffffffffffffff80;0xffffffff92292ebc;0xffffffffc11e1a4d;0xffffffffc11e4d2e;0xffffffffc1ce2581;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xfffffffffffffe00;__memset_avx2_unaligned_erms;0x12da04201;0x73ad2bff0720;0x894800000d80c781;|, 12.995020, 50.00, 50.082000
0.853000, 0xffffffffffffff80;0xffffffff91f9e4ee;0xffffffff91fa99fe;0xffffffff930a08c4;0xffffffff930a0c59;0xffffffff930a7c09;0xffffffff930a7cb3;0xffffffff923369c7;0xffffffff92336c07;0xffffffff92337697;0xffffffff91e0b317;0xffffffff9309124e;0xffffffff9320012b;0xfffffffffffffe00;__poll;0x73ad2c00794f;|0xffffffffffffff80;0xffffffffc1b0f11e;0xfffffffffffffe00;ioctl;0x73ad2c500930;|, 13.498806, 0.00, 54.099000
0.954000, 0xffffffffffffff80;0xffffffff91f8cc5d;0xffffffff91f70b12;0xffffffff91f784f9;0xffffffff91f790cf;0xffffffff91f6182f;0xffffffff930a0920;0xffffffff930a0c59;0xffffffff930a7c09;0xffffffff930a7cb3;0xffffffff923369c7;0xffffffff92336c07;0xffffffff92337697;0xffffffff91e0b317;0xffffffff9309124e;0xffffffff9320012b;0xfffffffffffffe00;__poll;0x73ad2c00794f;|0xffffffffffffff80;0xffffffff91ed019f;0xffffffff91f7f1e5;0xffffffff91f7f5ed;0xffffffff91f69387;0xffffffff920141a1;0xffffffff9202d1d7;0xffffffff9201511f;0xffffffff92016078;0xffffffff91eb3126;0xffffffff93097b77;0xffffffff93200f0b;0xfffffffffffffe00;0x73ad2c24efb0;0x0;0x0;|0xfffffffffffffe00;0x73ad26ee5a60;0x73ad26b2e455;0x73ad26b2ecc8;0x73ad26b358bf;0x73ad26cf25f0;0x73ad2e2f6019;|0xffffffffffffff80;0xffffffff9309892d;0xffffffff9309125a;0xffffffff9320012b;0xfffffffffffffe00;__close_nocancel;fclose@@GLIBC_2.2.5;0x73ad2bff45f0;0x59e93dbb00ac;|0xffffffffffffff80;0xffffffff91f167ef;0xffffffff91f18ab2;0xffffffff91ee4dea;0xffffffff91ee5883;0xffffffff91ee3f9b;0xffffffffc11f4434;0xffffffffc11e4f46;0xffffffffc1ce2690;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff9226f848;0xffffffff92270062;0xffffffff9227074c;0xffffffff922707f9;0xffffffff91ee3f22;0xffffffffc11f4434;0xffffffffc11e4f46;0xffffffffc1ce2690;0xfffffffffffffe00;ioctl;0x73ad2c500930;|0xffffffffffffff80;0xffffffff9227dfbb;0xffffffff9227e0bd;0xffffffffc11f42ef;0xffffffffc11e4f46;0xffffffffc1ce2690;0xfffffffffffffe00;ioctl;0x73ad2c500930;|, 13.732267, 25.00, 58.168000
1.057000, 0xffffffffffffff80;0xffffffff93098931;0xffffffff9309125a;0xffffffff9320012b;0xfffffffffffffe00;pthread_cond_broadcast@@GLIBC_2.3.2;0x73ad2bfe9124;0x0;0x3d8;|0xfffffffffffffe00;0x73ad26eeb91e;0x73ad26e20c0e;0x73ad26e217e7;0x73ad26ee5a50;0x73ad26b2e455;0x73ad26b2ecc8;0x73ad26b358bf;0x73ad26cf25f0;0x73ad2e2f6019;|0xfffffffffffffe00;pthread_mutex_unlock@@GLIBC_2.2.5;0x73ad26eeb757;0x73ad26e21343;0x73ad26ee627c;0x73ad26b2e455;0x73ad26b2ecc8;0x73ad26b358bf;0x73ad26cf25f0;libcudart_static_4d8b33a106dceb3c07a56e26de61f2d53bb62a68;cudaLaunchKernel;_Z16cudaLaunchKernelIcE9cudaErrorPT_4dim3S3_PPvmP11CUstream_st;_Z50__device_stub__Z16diffuseProject_kP6float2S0_iiffiP6float2S0_iiffi;_Z16diffuseProject_kP6float2S0_iiffi;diffuseProject;_Z14simulateFluidsv;_Z7displayv;fghRedrawWindow;0x73ad3f0c2099;fgEnumWindows;glutMainLoopEvent;glutMainLoop;main;__libc_start_call_main;__libc_start_main@@GLIBC_2.34;_start;|, 15.565709, 0.00, 62.189000
