EventType,TimeStart,TimeEnd,Duration,EventName
DRIVER,1747259030026755947,1747259030026756393,446,cuModuleGetLoadingMode
DRIVER,1747259030029643145,1747259030029643738,593,cuDeviceGetCount
DRIVER,1747259030029644342,1747259030029644421,79,cuDeviceGet
DRIVER,1747259030029645110,1747259030029651861,6751,cuDeviceGetName
DRIVER,1747259030029652287,1747259030029655664,3377,cuDeviceTotalMem_v2
DRIVER,1747259030029655868,1747259030029656588,720,cuDeviceGetAttribute
DRIVER,1747259030029656678,1747259030029656752,74,cuDeviceGetAttribute
DRIVER,1747259030029656850,1747259030029657077,227,cuDeviceGetAttribute
DRIVER,1747259030029657156,1747259030029657215,59,cuDeviceGetAttribute
DRIVER,1747259030029657280,1747259030029657452,172,cuDeviceGetAttribute
DRIVER,1747259030029657515,1747259030029665668,8153,cuDeviceGetAttribute
DRIVER,1747259030029665768,1747259030029665844,76,cuDeviceGetAttribute
DRIVER,1747259030029665917,1747259030029665971,54,cuDeviceGetAttribute
DRIVER,1747259030029666050,1747259030029666108,58,cuDeviceGetAttribute
DRIVER,1747259030029666179,1747259030029666322,143,cuDeviceGetAttribute
DRIVER,1747259030029666389,1747259030029666573,184,cuDeviceGetAttribute
DRIVER,1747259030029666636,1747259030029666688,52,cuDeviceGetAttribute
DRIVER,1747259030029666754,1747259030029666805,51,cuDeviceGetAttribute
DRIVER,1747259030029666870,1747259030029666922,52,cuDeviceGetAttribute
DRIVER,1747259030029666989,1747259030029667040,51,cuDeviceGetAttribute
DRIVER,1747259030029667103,1747259030029667268,165,cuDeviceGetAttribute
DRIVER,1747259030029667332,1747259030029667384,52,cuDeviceGetAttribute
DRIVER,1747259030029667448,1747259030029667500,52,cuDeviceGetAttribute
DRIVER,1747259030029667565,1747259030029667620,55,cuDeviceGetAttribute
DRIVER,1747259030029667686,1747259030029667743,57,cuDeviceGetAttribute
DRIVER,1747259030029667807,1747259030029667859,52,cuDeviceGetAttribute
DRIVER,1747259030029667924,1747259030029667976,52,cuDeviceGetAttribute
DRIVER,1747259030029668040,1747259030029668091,51,cuDeviceGetAttribute
DRIVER,1747259030029668156,1747259030029668213,57,cuDeviceGetAttribute
DRIVER,1747259030029668278,1747259030029668330,52,cuDeviceGetAttribute
DRIVER,1747259030029668394,1747259030029668446,52,cuDeviceGetAttribute
DRIVER,1747259030029668511,1747259030029668564,53,cuDeviceGetAttribute
DRIVER,1747259030029668628,1747259030029668679,51,cuDeviceGetAttribute
DRIVER,1747259030029668744,1747259030029668795,51,cuDeviceGetAttribute
DRIVER,1747259030029668861,1747259030029668913,52,cuDeviceGetAttribute
DRIVER,1747259030029668976,1747259030029669029,53,cuDeviceGetAttribute
DRIVER,1747259030029669093,1747259030029669145,52,cuDeviceGetAttribute
DRIVER,1747259030029669209,1747259030029669262,53,cuDeviceGetAttribute
DRIVER,1747259030029669326,1747259030029669378,52,cuDeviceGetAttribute
DRIVER,1747259030029669442,1747259030029669495,53,cuDeviceGetAttribute
DRIVER,1747259030029669560,1747259030029669613,53,cuDeviceGetAttribute
